timeStamp,slaveAddress,coil[0],coil[1],coil[2],coil[3],coil[4],coil[5],coil[6],coil[7],coil[8],coil[9],coil[10],coil[11],coil[12],coil[13],coil[14],coil[15],coil[16],coil[17],coil[18],coil[19]
2020-10-27T13:20:59.374259900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:20:59.574478100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:20:59.775470100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:20:59.975431400+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:00.174484800+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:00.374588500+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:00.575475+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:00.774505400+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:00.974526900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:01.175318900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:01.374333800+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:01.574370200+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:01.775379900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:01.975379300+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:02.175385500+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:02.374570100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:02.574657700+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:02.775509900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:02.974682100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:03.175399200+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:03.374811500+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:03.574885+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
